ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Minimum_distance,Closest_snow_lat,Closest_snow_lon,Closest_snow_lat_degrees
26,Jackson Hole,0.6046008979072777,-1.722222982222555,United States,North America,119,December - April,3185,1924,16,50,50,116,11,0,1,9,3,13,20480,Yes,Yes,No,No,0.0041787965990348645,34.875,-98.625,1998.1919983193225
27,Park City,0.7094075360024388,-1.9460055010895387,United States,North America,97,November - April,3049,2080,27,152,71,250,4,480,5,32,4,41,76110,Yes,Yes,Yes,No,0.0021780240720990136,40.62499999999999,-111.37499999999999,2327.6430087949093
28,Nevis Range,0.9922573802493276,-0.08724488819599444,United Kingdom,Europe,36,December - April,655,91,7,10,3,20,0,0,8,3,1,12,10350,Yes,No,No,No,0.0021964805008616094,56.87499999999999,-4.874999999999999,3258.700212312873
29,Arapahoe Basin,0.7002450713141611,-1.407953171187411,United States,North America,83,October - June,3790,3286,40,25,40,105,4,0,2,5,0,7,7200,Yes,Yes,No,No,0.0007855729129967359,40.12499999999999,-80.62499999999999,2298.9950948405103
30,The Remarkables,-0.7863567269106833,2.9463900734398556,New Zealand,Oceania,74,June - October,1943,1586,3,4,3,10,1,0,3,4,0,7,8400,Yes,Yes,No,Yes,0.0015999381582332878,-45.125,168.87499999999997,-2585.4742343844996
31,Valchiavenna � Madesimo/?Campodolcino,0.8102765139182388,0.1638833715073727,Italy,Europe,39,November - April,1550,1082,13,28,5,46,0,0,1,9,3,13,26060,Yes,Yes,Yes,No,0.0009180185678753755,46.37499999999999,9.374999999999998,2657.0940192704966
32,La Thuile / La Rosi�re - Espace San Bernardo,0.7978990647062499,0.12127605366067222,Italy,Europe,43,December - April,2641,1176,55,83,22,160,0,0,21,18,1,40,53669,Yes,Yes,No,No,0.002046735956376659,45.625,6.874999999999999,2614.1221483388986
33,Livigno � Carosello/?Mottolino,0.8119280983957443,0.17678347394024999,Italy,Europe,46,November - May,2798,1816,30,65,20,115,6,0,25,13,6,44,50850,Yes,Yes,Yes,No,0.0018322790293679976,46.62499999999999,10.125,2671.417976247696
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,0.8068125706043221,0.1889669125164611,Italy,Europe,50,November - April,2504,770,60,68,22,150,5,0,14,34,17,65,102340,Yes,Yes,Yes,No,0.001967295650161198,46.12499999999999,10.874999999999998,2642.770062293297
35,Wagrain (Ski amed�),0.826126980403261,0.23218362811993332,Austria,Europe,52,November - April,1980,740,30,81,4,115,6,600,22,16,11,49,75398,Yes,Yes,No,No,0.0014469911999857655,47.375,13.374999999999998,2714.3898471792945
36,Kaunertal Glacier (Kaunertaler Gletscher),0.8181655647705888,0.18698779459219442,Austria,Europe,43,September - June,3108,2180,14,4,2,20,5,0,6,2,1,9,13200,Yes,No,No,No,0.0015473205090027386,46.87499999999999,10.625,2685.7419332248955
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),0.8271615531141111,0.2205411015286111,Austria,Europe,53,November - April,2096,830,140,112,18,270,7,927,21,22,28,71,135104,Yes,Yes,Yes,No,0.0003675571047694166,47.375,12.625,2714.3898471792945
38,Sestriere ski resort (Via Lattea),0.7846040390856666,0.12009003536788888,Italy,Europe,48,November - April,2749,1372,96,220,84,400,7,0,29,35,7,71,96433,Yes,No,Yes,No,0.0013917067292514172,44.87499999999999,6.874999999999999,2571.1502774072997
39,Reither Kogel-Reith im Alpbachtal,0.8272948245978944,0.2069979269499111,Austria,Europe,46,December - March,1280,670,1,3,0,4,0,0,4,0,1,5,4070,Yes,No,Yes,No,0.0005159427693614914,47.375,11.874999999999998,2714.3898471792945
40,Kicking Horse - Golden,0.8952433584108109,-2.0413783929639386,Canada,North America,67,December - April,2450,1190,20,20,60,100,10,10,1,3,1,5,5250,Yes,No,No,No,0.002084063543640846,51.375,-116.875,2943.573158814486
41,Grandvalira � Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,0.7424825088087749,0.03025319918160811,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,6,1032,37,28,7,72,99017,Yes,Yes,Yes,No,0.0023916399450170265,42.62499999999999,1.6249999999999998,2442.2346646125047
42,Rinerhorn (Davos Klosters),0.8157876001792249,0.17100737087866594,Switzerland,Europe,48,December - March,2490,1454,10,22,8,40,7,14,6,0,1,7,6900,Yes,Yes,No,No,0.002433221166141382,46.62499999999999,9.874999999999998,2671.417976247696
43,Madrisa (Davos Klosters),0.8187284172709721,0.17239389041943343,Switzerland,Europe,52,December - March,2611,1142,6,9,9,24,8,9,7,2,1,10,6640,Yes,Yes,No,No,0.0006075289770781309,46.87499999999999,9.874999999999998,2685.7419332248955
44,Jakobshorn (Davos Klosters),0.8163316720800554,0.17190327741974443,Switzerland,Europe,58,December - April,2590,1540,25,13,2,40,6,140,5,5,3,13,15800,Yes,Yes,No,No,0.0018458745340995165,46.87499999999999,9.874999999999998,2685.7419332248955
45,Glacier 3000 / Les Diablerets,0.8089786602574388,0.12490688696202777,Switzerland,Europe,54,October - May,3016,1343,9,3,12,24,8,0,4,3,3,10,10260,Yes,Yes,No,No,0.0006920880958106842,46.37499999999999,7.125,2657.0940192704966
46,Big White,0.8677070009204999,-2.0757859052026664,Canada,North America,61,November - April,2285,1508,18,56,29,103,7,0,3,10,1,14,22625,Yes,Yes,Yes,No,0.0018915097562831724,49.625,-118.875,2843.3054599740894
47,Obergurgl-Hochgurgl,0.8181996440407777,0.1926616108518611,Austria,Europe,50,November - May,3082,1793,35,55,20,110,8,320,13,7,8,28,38861,Yes,Yes,Yes,No,0.001508084157903388,46.87499999999999,11.125,2685.7419332248955
48,Coronet Peak,-0.7839295170234054,2.9450586082567107,New Zealand,Oceania,74,June - October,1649,1229,8,16,16,40,0,202,5,3,0,8,7200,Yes,Yes,Yes,Yes,0.0021231831151473923,-44.87499999999999,168.62499999999997,-2571.1502774072997
49,Les Deux alpes,0.7855719437660611,0.10687970003239443,France,Europe,49,"December - April, June - August, October - November",3560,1280,110,56,34,200,16,224,26,21,7,54,72334,Yes,Yes,Yes,Yes,0.0020073324572583203,45.125,6.125,2585.4742343844996
50,Valle Nevado,-0.5821185454042221,-1.2260696836743552,Chile,South America,64,June - October,3670,2860,4,14,21,39,4,0,9,5,1,15,15930,Yes,Yes,No,Yes,0.0021925745098139012,-33.375,-70.125,-1912.2482564561258
51,Ben Lomond,-0.5240122343251777,2.646949773400739,Australia,Oceania,47,July - September,1572,1460,2,3,1,6,0,0,0,7,0,7,0,Yes,No,No,Yes,0.05457866906289943,-32.875,150.37499999999997,-1883.6003425017268
52,Portillo,-0.5731031298172055,-1.223982374626472,Chile,South America,57,June - October,3310,2580,10,4,6,20,3,0,9,5,0,14,9900,Yes,No,No,Yes,0.0006771382679552274,-32.875,-70.125,-1883.6003425017268
53,Catedral Alta Patagonia,-0.7184739535577777,-1.2469349620660555,Argentina,South America,51,June - October,2180,1030,30,60,30,120,9,0,19,17,2,38,35130,Yes,Yes,No,Yes,0.0032344762104589927,-41.125,-71.62499999999999,-2356.2909227493087
54,Whistler,0.8747092437476499,-2.145955590269433,Canada,North America,93,"November - May, June - August",2284,653,40,110,50,200,11,300,14,18,5,37,59203,Yes,Yes,No,Yes,0.001390778798485091,50.12499999999999,-122.87499999999999,2871.953373928488
55,Stubai Glacier,0.820224852581,0.19443806655055554,Austria,Europe,46,September - June,3212,1697,19,15,4,38,10,69,14,7,5,26,39784,Yes,Yes,No,No,0.0021197674840656355,46.87499999999999,11.125,2685.7419332248955
56,Fonna Glacier,1.0509819736936499,0.11232558098722899,Norway,Europe,42,May - September,1460,1200,2,2,0,4,0,0,1,0,0,1,1200,Yes,Yes,No,Yes,0.00192282814594527,60.12499999999999,6.374999999999999,3444.911653016466
57,Tignes - ?Val d'Ise?re,0.7933916789257166,0.12075636205158338,France,Europe,56,"November - May, June - August",3456,1550,170,78,52,300,6,848,33,42,11,86,145461,Yes,Yes,No,Yes,0.0016387566205916663,45.375,6.874999999999999,2599.798191361699
58,La Plagne (Paradiski),0.7941991626760805,0.11702269602723482,France,Europe,50,December - April,3167,1207,139,59,27,225,6,417,56,32,12,100,136733,Yes,Yes,No,No,0.0025264973434071074,45.625,6.625,2614.1221483388986
59,Les Orres,0.7769152488878667,0.11433696900981666,France,Europe,35,December - April,2720,1550,30,60,10,100,0,190,11,9,0,20,21020,Yes,Yes,No,No,0.0023280236155548985,44.62499999999999,6.625,2556.8263204301
60,Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,0.7991695324288888,0.11439049297677777,France,Europe,40,December - April,2069,1000,132,49,11,192,7,472,53,30,0,83,90852,Yes,Yes,Yes,No,0.0019442465757839825,45.875,6.625,2628.446105316098
61,Avoriaz (Les Portes du Soleil),0.8062112999488943,0.11816367695701664,France,Europe,51,December - April,2466,1000,310,210,60,580,0,1074,89,74,11,174,252280,Yes,Yes,Yes,No,0.0021748256980395056,46.12499999999999,6.874999999999999,2642.770062293297
62,Cha?tel (Les Portes du Soleil),0.8073020442889443,0.11944358341227777,France,Europe,51,December - April,2466,1000,310,210,60,580,0,1074,89,74,11,174,252280,Yes,Yes,Yes,No,0.0021641648293778343,46.37499999999999,6.874999999999999,2657.0940192704966
63,Le Lys - Cauterets,0.7484369222879388,-0.0027118780838166663,France,Europe,37,November - April,1360,932,21,12,3,36,0,0,6,4,1,11,13038,Yes,Yes,No,No,0.0005453648862495367,42.87499999999999,-0.12499999999999999,2456.558621589704
64,Pont d'Espagne - Cauterets,0.747890605022922,-0.0024420783346166663,France,Europe,35,November - April,1756,1516,3,1,0,4,0,0,2,1,1,4,4150,Yes,No,No,No,0.0004930624141906032,42.87499999999999,-0.12499999999999999,2456.558621589704
65,La Grave - La Meije,0.7861907951081945,0.11007297616920554,France,Europe,49,December - April,3534,1470,3,0,0,3,0,0,1,0,2,3,1460,Yes,No,No,No,0.0018296537622967532,45.125,6.374999999999999,2585.4742343844996
66,Courchevel (Les 3 Valle?es),0.7926248744025333,0.11580230956015554,France,Europe,61,November - May,3230,1110,312,216,72,600,12,2383,62,63,40,165,250860,Yes,Yes,Yes,No,0.0007043146929685164,45.375,6.625,2599.798191361699
67,Saint Martin de Belleville (Les 3 Valle?es),0.7915129033860498,0.1134476343957657,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No,0.002222246184910218,45.375,6.625,2599.798191361699
68,Alpe d'Huez,0.7870102003199444,0.10594042396353888,France,Europe,51,December - April,3330,1125,70,130,50,250,16,963,27,21,20,68,92097,Yes,Yes,Yes,No,0.001116713155865808,45.125,6.125,2585.4742343844996
69,La Tania-Val Thorens/?Les Menuires/?Me?ribel (Les 3 Valle?es),0.7929402656039444,0.11512878931603887,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No,0.0011156856256102892,45.375,6.625,2599.798191361699
70,Sainte-Foy-Tarentaise,0.7957011298025,0.12016423623303332,France,Europe,31,December - April,2620,1550,10,25,6,41,0,10,2,4,0,6,7100,Yes,No,No,No,0.0006289170002464657,45.625,6.874999999999999,2614.1221483388986
71,Les Arcs /? Peisey-Vallandry (Paradiski),0.7585702360245721,0.11307327490428332,France,Europe,50,December - April,3226,1200,104,70,26,200,7,793,17,27,8,52,82641,Yes,Yes,Yes,No,0.002371761728839148,43.375,6.374999999999999,2485.2065355441036
72,Montgene?vre (Via Lattea),0.7841631518357222,0.11745577724633333,France,Europe,48,November - April,2749,1372,96,220,84,400,0,0,29,35,7,71,96433,Yes,No,Yes,No,0.0020587121654592993,44.87499999999999,6.625,2571.1502774072997
73,Bonneval sur Arc,0.7918846459854222,0.12298966185141665,France,Europe,28,December - April,3000,1850,13,11,1,25,0,0,8,3,0,11,8213,Yes,No,No,No,0.0013661669739870451,45.375,7.125,2599.798191361699
74,Val Thorens (Les 3 Valle?es),0.7905970216907277,0.11488217450103888,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No,0.0015383301668461188,45.375,6.625,2599.798191361699
75,Serre Chevalier-Brianc?on/?Chantemerle/?Villeneuve-la-Salle/?Le Mone?tier-les-Bains,0.7838395872643278,0.11431946162687777,France,Europe,49,December - April,2800,1200,138,80,32,250,9,575,33,21,7,61,72066,Yes,Yes,Yes,No,0.0014495661791201421,44.87499999999999,6.625,2571.1502774072997
76,Kleine Scheidegg / ?Ma?nnlichen-Grindelwald / ?Wengen,0.8130626679162944,0.13894374321062222,Switzerland,Europe,55,November - April,2320,944,33,56,13,102,13,0,10,10,6,26,29250,Yes,No,No,No,0.0016530358628302627,46.62499999999999,7.874999999999999,2671.417976247696
77,Balme-?Les Autannes-Vallorcine-?Le Tour,0.8078368772971833,0.08343382187633888,France,Europe,51,December - April,2270,1453,13,16,0,29,0,0,8,2,2,12,14860,Yes,Yes,No,No,0.0031284637521384684,46.37499999999999,4.625,2657.0940192704966
78,Grands Montets-Argentie?re (Chamonix),0.8024619065315943,0.1208446191059722,France,Europe,62,December - May,3275,1252,6,9,14,29,6,0,1,4,4,9,15756,Yes,Yes,No,No,0.001985515069272341,45.875,6.874999999999999,2628.446105316098
79,Winter Park Resort,0.6958903589536527,-1.8462550007721774,United States,North America,119,November - April,3676,2743,11,53,79,143,7,36,5,19,1,25,41130,Yes,Yes,No,No,0.0016118675037431753,39.875,-105.87499999999999,2284.6711378633113
80,Arcali?s-Ordino (Vallnord),0.743983701009661,0.026027385124336718,Andorra,Europe,37,November - April,2625,1940,13,14,3,30,5,106,10,4,1,15,14240,Yes,Yes,No,No,0.00202947903558862,42.62499999999999,1.3749999999999998,2442.2346646125047
81,Ruka,1.1548880261461332,0.5084336881626055,Finland,Europe,43,October - June,492,291,9,7,2,18,1,70,17,5,0,22,22915,Yes,Yes,Yes,No,0.0007972424237934728,66.125,29.124999999999996,3788.686620469253
82,Levi,1.1830600581930277,0.4338139408608388,Finland,Europe,43,November - May,531,206,15,19,2,36,2,267,25,2,2,29,30110,Yes,Yes,Yes,No,0.001616548434464098,67.875,24.874999999999996,3888.9543193096492
83,Niseko,0.747082040042,2.4554545860466996,Japan,Asia,57,November - May,1200,300,20,16,8,44,0,0,1,26,5,32,42400,Yes,Yes,Yes,No,0.0016396844527220011,42.87499999999999,140.625,2456.558621589704
84,Kranjska Gora,0.8113179213326666,0.2405828871509055,Slovenia,Europe,33,December - April,1215,800,10,8,2,20,2,0,15,5,0,20,17774,Yes,Yes,Yes,No,0.002489047710704082,46.37499999999999,13.874999999999998,2657.0940192704966
85,El Tarter � Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),0.7431663867005888,0.02879260777287222,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,0,1032,37,28,7,72,99017,Yes,Yes,Yes,No,0.0008908034642896681,42.62499999999999,1.6249999999999998,2442.2346646125047
86,Bansko,0.7301475539648555,0.4098757388999,Bulgaria,Europe,30,December - April,2560,990,20,24,3,47,16,380,7,8,2,17,24233,Yes,Yes,Yes,No,0.0020328166859720103,41.875,23.375,2399.2627936809067
87,Alta,0.7447957531554833,-1.6633670858496499,United States,North America,82,November - April,3215,2600,29,46,40,115,4,0,3,7,0,10,13100,Yes,No,Yes,No,0.0015026509318432817,42.62499999999999,-95.375,2442.2346646125047
88,Aspen Mountain,0.6837513311154111,-1.8645198036067887,United States,North America,124,November - April,3418,2422,0,49,54,103,4,0,0,7,1,8,13400,Yes,No,No,No,0.0011975766795424866,39.125,-106.87499999999999,2241.699266931713
89,Aspen Highlands,1.0664523269872777,-2.613465274266633,United States,North America,124,December - April,3559,2451,24,40,70,134,5,0,0,5,0,5,7085,Yes,No,No,No,0.0020539093731792085,61.12499999999999,-149.62499999999997,3502.2074809252636
90,Squaw Valley,0.6412373717416611,-2.081247262711944,United States,North America,102,November - April,2760,1890,25,45,30,100,5,0,6,21,2,29,42932,Yes,Yes,Yes,No,0.0031703335181209424,36.875,-119.125,2112.783654136918
91,Vail,0.6919181055050722,-1.8566826029520611,United States,North America,127,November - April,3433,2457,57,84,93,234,6,0,9,20,2,31,54858,Yes,Yes,No,No,0.00034400400940989996,39.625,-106.37499999999999,2270.347180886112
92,Kitzsteinhorn - Kaprun,0.823586046703311,0.22143843038965555,Austria,Europe,50,July,3029,1978,13,25,3,41,5,105,5,5,7,17,33598,Yes,Yes,No,Yes,0.001549377453718504,47.12499999999999,12.625,2700.0658902020946
93,Snowbasin,0.7193598295779443,-1.9522787623917774,United States,North America,85,November - April,2850,1950,5,28,15,48,5,400,2,6,3,11,17026,Yes,Yes,No,No,0.0016230206132976607,41.125,-111.875,2356.2909227493087
94,Beaver Creek,0.6912349475609666,-1.859035912170572,United States,North America,141,November - April,3488,2255,28,64,57,149,4,0,8,13,3,24,38200,Yes,Yes,No,No,0.0019516867315568774,39.625,-106.625,2270.347180886112
95,Glencoe Mountain,0.9892786930354582,-0.08912417022978221,United Kingdom,Europe,35,December - April,1070,360,7,10,7,24,0,0,6,2,0,8,5800,Yes,No,No,No,0.001038628017555034,56.62499999999999,-5.125,3244.3762553356737
96,S�lden,0.8197350106322167,0.1921085653482611,Austria,Europe,53,September - May,3340,1350,70,44,29,143,15,363,12,16,8,36,70370,Yes,Yes,Yes,No,0.0026154588358080306,46.87499999999999,11.125,2685.7419332248955
97,Ku�htai,0.8240050056550555,0.19228845104633333,Austria,Europe,37,November - April,2520,1938,6,26,8,40,4,80,6,5,1,12,17254,Yes,Yes,Yes,No,0.0024165838082043536,47.12499999999999,11.125,2700.0658902020946
98,Breckenridge,0.5716967604018222,-1.7261859896226999,United States,North America,140,November - April,3914,2926,28,60,65,153,5,0,15,18,1,34,43880,Yes,Yes,No,No,0.0023362152029156305,32.62499999999999,-98.87499999999999,1869.276385524527
99,Obertauern,0.8246575348419888,0.23661339393820552,Austria,Europe,46,November - May,2313,1630,61,35,4,100,5,280,11,18,2,31,50797,Yes,Yes,Yes,No,0.002475276541475476,47.12499999999999,13.625,2700.0658902020946
100,Elfer Neustift,0.8221622903326055,0.1973613649147333,Austria,Europe,29,December - March,2080,981,0,7,0,7,5,0,3,0,1,4,2980,Yes,No,No,No,0.0012135613514407783,47.12499999999999,11.374999999999998,2700.0658902020946
101,Serfaus-Fiss-Ladis,0.8212296447639776,0.18533874869394165,Austria,Europe,49,December - April,2820,1200,47,123,28,198,10,1250,40,16,12,68,78460,Yes,Yes,Yes,No,0.0012602317615387848,47.12499999999999,10.625,2700.0658902020946
102,Hochko?nig-Maria Alm/?Dienten/?Mu?hlbach,0.827049861735636,0.226131879106865,Austria,Europe,52,December - April,1900,800,52,41,19,112,9,520,21,9,5,35,49232,Yes,Yes,Yes,No,0.0014350495005502775,47.375,12.874999999999998,2714.3898471792945
103,Mayrhofen-Penken/?Ahorn/?Rastkogel/?Eggalm,0.8232225717216222,0.2070633557976444,Austria,Europe,52,December - April,2500,630,40,66,30,136,10,286,31,17,9,57,82432,Yes,Yes,No,No,0.0007620477881770865,47.12499999999999,11.874999999999998,2700.0658902020946
104,St. Anton (Ski Arlberg),0.8234919709180971,0.17698380458244387,Austria,Europe,53,December - April,2811,1270,130,123,51,304,10,747,53,45,15,113,145127,Yes,Yes,No,No,0.001041685671773867,47.12499999999999,10.125,2700.0658902020946
105,Axamer Lizum,0.8236966254353276,0.19727472509851665,Austria,Europe,38,November - April,2340,1580,7,21,2,30,3,0,3,6,1,10,13322,Yes,Yes,No,No,0.0017448831709523567,47.12499999999999,11.374999999999998,2700.0658902020946
106,Flachau (Ski amed�),0.8263053668647721,0.23373933650662218,Austria,Europe,52,November - April,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,Yes,No,No,0.0006217921886339515,47.375,13.374999999999998,2714.3898471792945
107,Ski Juwel Alpbachtal Wildscho?nau,0.8272016432931666,0.20815669194944442,Austria,Europe,46,December - April,2025,830,25,53,13,91,7,294,32,7,8,47,52789,Yes,Yes,Yes,No,0.000965694970973292,47.375,11.874999999999998,2714.3898471792945
108,Ischgl,0.820064638472311,0.17932401127626163,Austria,Europe,52,November - May,2872,1377,47,142,49,238,11,1200,13,25,7,45,88215,Yes,Yes,No,No,0.002616855047061899,46.87499999999999,10.374999999999998,2685.7419332248955
109,Bad Gastein,0.8223023755760333,0.22925343396570555,Austria,Europe,52,November - April,2300,860,30,52,2,84,10,800,10,9,7,26,32699,Yes,Yes,No,No,0.00025634522472082983,47.12499999999999,13.125,2700.0658902020946
110,Gargellen,0.8198171701920277,0.1731142155025389,Austria,Europe,47,December - April,2300,1423,20,5,2,27,6,83,5,3,1,9,10650,Yes,Yes,No,No,0.0018586494668120668,46.87499999999999,9.874999999999998,2685.7419332248955
111,Lech (Ski Arlberg),0.8234919709180971,0.17698380458244387,Austria,Europe,53,December - April,2811,1270,130,123,51,304,6,747,53,45,15,113,145127,Yes,Yes,No,No,0.001041685671773867,47.12499999999999,10.125,2700.0658902020946
112,Kitzb�hel / Kirchberg (KitzSki),0.8280944744445278,0.2162661358122611,Austria,Europe,55,October - April,2000,800,101,61,17,179,8,1102,15,28,11,54,92510,Yes,Yes,Yes,No,0.0012769277509830093,47.375,12.374999999999998,2714.3898471792945
